City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,georgetown,5.4112,100.3354,28.97,79,20,1.03,MY,1684953084
1,isafjordur,66.0755,-23.124,6.02,49,100,6.17,IS,1684953092
2,pandan,14.0453,124.1694,26.89,84,65,1.62,PH,1684953093
3,waitangi,-43.9535,-176.5597,11.22,57,23,5.71,NZ,1684953093
4,st. john's,47.5649,-52.7093,12.38,80,20,3.09,CA,1684952905
5,mejit,10.2753,170.8646,27.25,80,100,6.81,MH,1684953094
6,adamstown,-25.066,-130.1015,24.06,73,100,4.37,PN,1684953094
7,tidjikja,18.5564,-11.4271,31.08,23,85,9.34,MR,1684953094
8,puerto armuelles,8.2833,-82.8667,30.99,71,92,2.2,PA,1684953095
9,kavaratti,10.5669,72.642,29.53,70,14,3.11,IN,1684953095
10,chonchi,-42.6128,-73.8092,7.56,85,100,3.96,CL,1684953095
11,saudarkrokur,65.7461,-19.6394,5.85,63,61,10.35,IS,1684953096
12,ilulissat,69.2167,-51.1,1.01,60,75,2.57,GL,1684953096
13,antonio enes,-16.2325,39.9086,23.3,74,0,3.67,MZ,1684953096
14,qaqortoq,60.7167,-46.0333,0.89,100,100,3.51,GL,1684953096
15,olinda,-8.0089,-34.8553,26.85,83,75,4.12,BR,1684953074
16,college,64.8569,-147.8028,16.72,51,75,1.03,US,1684953097
17,ribeira grande,38.5167,-28.7,19.22,68,40,6.71,PT,1684953097
18,port elizabeth,-33.918,25.5701,14.16,72,0,2.57,ZA,1684953098
19,saipan,15.1355,145.701,23.39,100,100,13.89,MP,1684953098
20,grytviken,-54.2811,-36.5092,0.73,66,95,4.93,GS,1684953098
21,papao,-17.75,-149.55,26.82,76,6,1.5,PF,1684953098
22,puerto natales,-51.7236,-72.4875,6.25,56,75,5.14,CL,1684953099
23,burutu,5.3509,5.5076,26.62,88,30,2.95,NG,1684953099
24,howrah,22.5892,88.3103,27.0,89,20,1.54,IN,1684953099
25,edinburgh of the seven seas,-37.0676,-12.3116,14.2,72,93,7.65,SH,1684953100
26,margaret river,-33.95,115.0667,13.85,71,100,5.31,AU,1684953100
27,port-aux-francais,-49.35,70.2167,7.17,97,97,4.32,TF,1684953100
28,blackmans bay,-43.0167,147.3167,16.52,57,16,5.36,AU,1684953100
29,cestos city,5.46,-9.5828,27.62,84,100,3.31,LR,1684953100
30,tukrah,32.5341,20.5791,20.83,69,0,8.17,LY,1684953101
31,longyearbyen,78.2186,15.6401,2.91,75,75,12.86,SJ,1684953101
32,katsuura,35.1333,140.3,17.47,65,89,2.38,JP,1684953101
33,iqaluit,63.7506,-68.5145,-2.15,86,100,2.57,CA,1684953101
34,port saint john's,-31.6229,29.5448,19.33,64,0,3.64,ZA,1684953101
35,hanceville,34.0607,-86.7675,25.84,52,99,3.67,US,1684953101
36,shanyang,26.6702,119.2051,16.12,98,68,0.58,CN,1684953101
37,nemuro,43.3236,145.575,6.31,72,100,3.46,JP,1684953102
38,kushiro,42.975,144.3747,7.62,82,69,1.72,JP,1684953102
39,mabaruma,8.2,-59.7833,31.0,70,75,3.09,GY,1684953102
40,tura,25.5198,90.2201,21.79,76,4,1.81,IN,1684953102
41,bethel,41.3712,-73.414,26.04,51,0,3.6,US,1684953102
42,lata,40.1629,-8.3327,21.01,59,10,1.76,PT,1684953102
43,faya-largeau,17.9257,19.1043,38.24,10,39,3.39,TD,1684953102
44,tiksi,71.6872,128.8694,-10.53,99,85,1.09,RU,1684953103
45,papatowai,-46.5619,169.4708,9.75,89,100,2.87,NZ,1684953103
46,stanley,54.868,-1.6985,14.33,69,100,1.03,GB,1684953103
47,albany,42.6001,-73.9662,23.71,64,70,6.5,US,1684953002
48,hamilton,39.1834,-84.5333,29.56,40,75,4.12,US,1684953103
49,vereshchagino,58.0789,54.6557,16.61,54,14,2.46,RU,1684953103
50,newman,37.3138,-121.0208,23.9,10,0,2.79,US,1684953103
51,tralee,52.2704,-9.7026,13.05,84,18,3.11,IE,1684953103
52,muana,-1.5283,-49.2167,29.68,71,14,2.14,BR,1684953103
53,yellowknife,62.456,-114.3525,11.29,76,75,3.6,CA,1684953103
54,bodo,67.28,14.405,8.02,76,75,11.83,NO,1684953103
55,island harbour,50.724,-1.2758,20.04,79,100,3.67,GB,1684953104
56,ushuaia,-54.8,-68.3,5.79,75,100,4.63,AR,1684953104
57,kapa'a,22.0752,-159.319,25.18,81,40,6.17,US,1684953104
58,kristiansund,63.1115,7.732,10.36,57,40,11.83,NO,1684953104
59,fortuna,40.5982,-124.1573,15.75,79,100,4.63,US,1684953104
60,iskateley,67.6803,53.1512,13.87,90,24,4.71,RU,1684953104
61,puerto ayora,-0.7393,-90.3518,30.98,85,16,2.68,EC,1684953104
62,olonkinbyen,70.9221,-8.7187,-1.5,94,100,16.99,SJ,1684953104
63,san patricio,28.017,-97.5169,32.31,52,8,3.81,US,1684953104
64,timimoun,29.2639,0.231,32.21,12,0,1.54,DZ,1684953104
65,laguna,38.421,-121.4238,22.27,54,0,3.09,US,1684953094
66,geraldton,-28.7667,114.6,12.23,82,1,4.63,AU,1684952908
67,bamboo flat,11.7,92.7167,28.05,83,40,1.03,IN,1684953105
68,jamestown,42.097,-79.2353,18.34,69,100,4.63,US,1684952826
69,tolanaro,-25.0319,46.9987,19.04,94,75,0.0,MG,1684953105
70,zapadnaya dvina,56.259,32.0745,12.3,91,5,1.68,RU,1684953105
71,port alfred,-33.5906,26.891,20.11,50,26,3.95,ZA,1684953105
72,kingston,17.997,-76.7936,31.8,68,20,4.12,JM,1684952969
73,dingzhou,38.5131,114.9956,19.06,53,100,5.95,CN,1684953105
74,sarande,39.8756,20.0053,20.85,76,100,0.85,AL,1684953105
75,thompson,55.7435,-97.8558,16.09,31,75,4.63,CA,1684953105
76,nova sintra,14.8667,-24.7167,20.23,81,100,7.44,CV,1684953106
77,el ejido,36.7763,-2.8146,19.86,75,99,3.07,ES,1684953106
78,cadale,2.7603,46.3222,27.14,80,47,6.79,SO,1684953106
79,saldanha,-33.0117,17.9442,14.03,89,100,7.88,ZA,1684953106
80,aykhal,66.0,111.5,-1.94,97,98,4.36,RU,1684953106
81,grand rapids,42.9634,-85.6681,20.93,61,40,7.2,US,1684953091
82,changji,44.0167,87.3167,20.44,30,0,2.0,CN,1684953106
83,qarqaraly,49.4058,75.4742,12.07,46,84,1.53,KZ,1684953106
84,mount gambier,-37.8333,140.7667,14.37,70,100,5.44,AU,1684953106
85,enewetak,11.3474,162.3373,27.8,76,100,6.85,MH,1684953106
86,yarmouth,41.7057,-70.2286,21.47,77,75,4.12,US,1684953106
87,hawaiian paradise park,19.5933,-154.9731,22.8,93,100,2.06,US,1684953106
88,lewiston orchards,46.3804,-116.9754,20.95,39,0,1.54,US,1684953106
89,saint-joseph,-21.3667,55.6167,21.37,85,100,3.98,RE,1684953107
90,mombetsu,44.3525,143.3525,8.52,72,0,3.04,JP,1684953107
91,kabwe,-14.4469,28.4464,17.15,56,0,2.74,ZM,1684953107
92,antsiranana,-12.2787,49.2917,23.68,84,29,1.44,MG,1684953107
93,flying fish cove,-10.4217,105.6791,25.82,83,75,5.66,CX,1684953107
94,bardai,11.65,7.2333,28.46,55,89,6.76,NG,1684953107
95,port mathurin,-19.6833,63.4167,25.01,69,30,6.73,MU,1684953107
